Book_Num,Chapter_Num,Section_Num,Character_Name,words,Affiliation,Title,Type,Species
1,1,1,Narrator,1204,,,,
1,1,2,Loken,2782,Sons of Horus,Captain,,Astartes
1,2,1,Loken,751,Sons of Horus,Captain,,Astartes
1,2,2,Loken,3615,Sons of Horus,Captain,,Astartes
1,2,3,Loken,171,Sons of Horus,Captain,,Astartes
1,3,1,Narrator,1016,,,,
1,3,2,Karkasy,1206,Remembrancer,,,Human
1,3,3,Loken,887,Sons of Horus,Captain,,Astartes
1,3,4,Loken,3614,Sons of Horus,Captain,,Astartes
1,4,1,Oliton,1381,Remembrancer,,,Human
1,4,2,Loken,3070,Sons of Horus,Captain,,Astartes
1,4,3,Oliton,371,Remembrancer,,,Human
1,5,1,Karkasy,1839,Remembrancer,,,Human
1,5,2,Karkasy,2729,Remembrancer,,,Human
1,5,3,Karkasy,2015,Remembrancer,,,Human
1,6,1,Loken,5534,Sons of Horus,Captain,,Astartes
1,6,2,Loken,2571,Sons of Horus,Captain,,Astartes
1,7,1,Keeler,1815,Remembrancer,,,Human
1,7,2,Loken,336,Sons of Horus,Captain,,Astartes
1,7,3,Keeler,1240,Remembrancer,,,Human
1,7,4,Loken,536,Sons of Horus,Captain,,Astartes
1,8,1,Loken,1379,Sons of Horus,Captain,,Astartes
1,8,2,Loken,476,Sons of Horus,Captain,,Astartes
1,8,3,Keeler,978,Remembrancer,,,Human
1,8,4,Loken,869,Sons of Horus,Captain,,Astartes
1,8,5,Loken,526,Sons of Horus,Captain,,Astartes
1,8,6,Loken,479,Sons of Horus,Captain,,Astartes
1,9,1,Oliton,2106,Remembrancer,,,Human
1,9,2,Loken,1734,Sons of Horus,Captain,,Astartes
1,9,3,Keeler,648,Remembrancer,,,Human
1,9,4,Sindermann,1318,Iterator,,,Human
1,9,5,Keeler,336,Remembrancer,,,Human
1,9,6,Loken,341,Sons of Horus,Captain,,Astartes
1,9,7,Keeler,352,Remembrancer,,,Human
1,10,1,Loken,2623,Sons of Horus,Captain,,Astartes
1,10,2,Loken,445,Sons of Horus,Captain,,Astartes
1,11,1,Tarvitz,1741,Emperors Children,,,Astartes
1,11,2,Loken,1956,Sons of Horus,Captain,,Astartes
1,11,3,Narrator,1152,,,,
1,12,1,Tarvitz,723,Emperors Children,,,Astartes
1,12,2,Tarvitz,2813,Emperors Children,,,Astartes
1,13,1,Loken,1265,Sons of Horus,Captain,,Astartes
1,13,2,Loken,1978,Sons of Horus,Captain,,Astartes
1,13,3,Loken,520,Sons of Horus,Captain,,Astartes
1,13,4,Loken,300,Sons of Horus,Captain,,Astartes
1,14,1,Tarvitz,905,Emperors Children,,,Astartes
1,14,2,Tarvitz,611,Emperors Children,,,Astartes
1,14,3,Tarvitz,624,Emperors Children,,,Astartes
1,14,4,Tarvitz,1680,Emperors Children,,,Astartes
1,15,1,Loken,805,Sons of Horus,Captain,,Astartes
